Round,train_losses,accuracies
178,0.0013282120943069458,52.09
179,0.001359111487865448,50.62
180,0.001369352960586548,50.39
181,0.001373279106616974,50.06
182,0.0013354307293891906,51.33
183,0.0013077306509017945,52.66
184,0.0013107421398162841,53.01
185,0.0013217404127120972,53.15
186,0.0013352731585502624,52.92
187,0.0013525434970855714,52.54
188,0.001353511607646942,52.48
189,0.0013566805243492126,53.11
190,0.0013544314980506898,52.84
191,0.001340630841255188,52.88
192,0.0013771146297454834,51.48
193,0.0014238988280296325,49.55
194,0.001437273406982422,48.94
195,0.0013805272102355957,50.82
196,0.001350555455684662,51.88
197,0.0013654612421989442,51.79
198,0.0013907386541366577,51.1
199,0.0014035924553871156,51.2
200,0.0014008400559425353,51.38
201,0.0014142531991004944,50.57
202,0.001412555432319641,50.03
203,0.0013863811492919923,50.24
204,0.0013720151901245117,50.79
205,0.0013568040013313294,51.79
206,0.001338062334060669,51.89
207,0.001365735363960266,50.4
208,0.0013929134607315063,49.88
209,0.0013920940399169922,49.82
210,0.0013875517964363098,49.35
211,0.001347500455379486,50.72
212,0.0013066591143608094,52.8
213,0.0012857778549194335,54.38
214,0.00127738995552063,54.37
215,0.0012789922237396241,53.86
216,0.0012942737936973573,52.68
217,0.0013050456643104553,51.85
218,0.0013265790820121766,51.58
219,0.0013391432404518126,52.13
220,0.0013443923711776733,52.29
221,0.0013447802782058716,52.49
222,0.001349449610710144,52.4
223,0.0013541450142860413,52.13
224,0.0013389593839645386,52.54
225,0.0013130611777305602,53.62
226,0.0012925824046134949,54.78
227,0.0012848247766494751,54.51
228,0.0012974013686180114,53.82
229,0.0013110082387924194,52.91
230,0.0013259103298187255,52.04
231,0.0013317386865615846,52.02
232,0.001282519495487213,53.79
233,0.0012344767928123474,55.55
234,0.0012383184671401978,56.12
235,0.001296495473384857,53.85
236,0.001349482774734497,51.97
237,0.0014044027805328368,50.66
238,0.0014059405565261841,50.63
239,0.0013695741772651673,52.14
240,0.001361963152885437,52.26
241,0.001349302899837494,52.78
242,0.0013219249486923217,53.33
243,0.0012879027843475342,54.35
244,0.0012790337204933167,54.62
245,0.0012940791487693786,53.98
246,0.001326570951938629,52.63
247,0.0013252156138420105,52.58
248,0.0013080256581306457,53.35
249,0.0012666642069816588,55.37
250,0.0012589198708534241,55.72
251,0.0012891802549362182,55.17
252,0.001342429292201996,53.61
253,0.0013448189258575439,53.5
254,0.0013394972920417786,53.81
255,0.0013015559554100037,54.78
256,0.0012672164678573608,55.83
257,0.001261335813999176,55.99
258,0.0012836370706558228,55.14
259,0.00130114107131958,54.49
260,0.0012836247205734253,54.82
261,0.0012747891426086425,54.53
262,0.0013171608090400695,52.69
263,0.0013837539911270142,50.66
264,0.0013966748356819153,49.73
265,0.0013948789834976197,48.95
266,0.0013465296149253844,50.15
267,0.001296115255355835,52.53
268,0.0012623193621635438,54.54
269,0.0012548848032951354,55.19
270,0.0012745344877243042,54.75
271,0.001287989616394043,54.63
272,0.0013012332797050477,53.97
273,0.0013040477514266967,54.0
274,0.0012867871880531312,54.28
275,0.0012918673276901245,53.75
